"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"4",39.15,14693.2000000002,"appealing","0.66667","314",78,"1.4","D~1.4"
"5.5",94.58,4132.09999999963,"appealing","1.5","117",78,"1","D~1.0"
"4.5",76.72,3515.29999999981,"appealing","2","117",78,"1.2","D~1.2"
"4.5",78.57,16869.2999999998,"interesting","1","314",78,"1.2","D~1.2"
"2.5",18.78,7877.5,"interesting","0.5","314",78,"1.8","D~1.8"
"5.5",98,5643.40000000037,"interesting","1.5","314",78,"1","D~1.0"
"5.5",98,6281.79999999981,"interesting","0.5","238",78,"1","D~1.0"
"4.5",99,7570.59999999963,"interesting","1.5","117",78,"1.2","D~1.2"
"3.5",34.26,3627.09999999963,"interesting","1.5","117",78,"1.6","D~1.6"
"5.5",100,6481.80000000075,"interesting","1","117",78,"1","D~1.0"
"2.5",3.17,7032.40000000037,"interesting","1","314",78,"1.8","D~1.8"
"3.5",26.59,4205.60000000056,"interesting","2","238",78,"1.6","D~1.6"
"5.5",97,4790.60000000056,"interesting","1.5","117",78,"1","D~1.0"
"4",72.35,4917.70000000019,"interesting","0.66667","117",78,"1.4","D~1.4"
"3.5",38.23,4335.20000000019,"interesting","0.5","117",78,"1.6","D~1.6"
"3.5",35.98,3426.5,"interesting","1.5","314",78,"1.6","D~1.6"
"4.5",61.9,8018.29999999981,"interesting","0.5","314",78,"1.2","D~1.2"
"4",80.16,6078.5,"interesting","1","238",78,"1.4","D~1.4"
"4.5",87.17,3950.40000000037,"interesting","0.66667","238",78,"1.2","D~1.2"
"4.5",97,7186.10000000056,"interesting","2","314",78,"1.2","D~1.2"
"5.5",99,7058.89999999944,"interesting","0.5","314",78,"1","D~1.0"
"5.5",100,5886.29999999981,"interesting","0.66667","117",78,"1","D~1.0"
"4",82.14,6249.19999999925,"interesting","0.5","238",78,"1.4","D~1.4"
"2.5",0,4531.5,"interesting","2","238",78,"1.8","D~1.8"
"4.5",88.62,3609.5,"interesting","2","238",78,"1.2","D~1.2"
"4",53.17,2265.39999999944,"interesting","0.66667","314",78,"1.4","D~1.4"
"2.5",75.79,6466,"interesting","0.5","117",78,"1.8","D~1.8"
"2.5",49.21,4973.09999999963,"interesting","0.5","238",78,"1.8","D~1.8"
"2.5",19.05,7573.70000000019,"interesting","0.66667","314",78,"1.8","D~1.8"
"2.5",7.01,5448.60000000056,"interesting","1","117",78,"1.8","D~1.8"
"5.5",99,11149.7999999998,"interesting","2","238",78,"1","D~1.0"
"4.5",84.39,3733.5,"interesting","1.5","314",78,"1.2","D~1.2"
"3.5",76.06,4027.29999999981,"interesting","2","314",78,"1.6","D~1.6"
"3.5",50.93,2466,"interesting","1","117",78,"1.6","D~1.6"
"5.5",98,4935.70000000019,"interesting","0.66667","238",78,"1","D~1.0"
"3.5",25,6060.90000000037,"interesting","0.66667","314",78,"1.6","D~1.6"
"5.5",92,11615.2000000002,"interesting","2","314",78,"1","D~1.0"
"4",88.23,5253.89999999944,"interesting","1.5","314",78,"1.4","D~1.4"
"5.5",100,4282.70000000019,"interesting","1","314",78,"1","D~1.0"
"4",84.13,8994.10000000056,"interesting","1","314",78,"1.4","D~1.4"
"4.5",72.88,3779.89999999944,"interesting","0.66667","314",78,"1.2","D~1.2"
"3.5",51.98,6280.79999999981,"interesting","2","117",78,"1.6","D~1.6"
"2.5",64.81,7083.20000000019,"interesting","2","117",78,"1.8","D~1.8"
"4",52.12,9648.69999999926,"interesting","2","314",78,"1.4","D~1.4"
"2.5",6.35,6295.69999999925,"interesting","1.5","314",78,"1.8","D~1.8"
"4",63.23,11519.7000000002,"interesting","2","238",78,"1.4","D~1.4"
"4.5",80.69,2196,"interesting","0.66667","117",78,"1.2","D~1.2"
"4",50.53,2863.40000000037,"interesting","0.66667","238",78,"1.4","D~1.4"
"3.5",83.86,2482.09999999963,"interesting","0.66667","117",78,"1.6","D~1.6"
"4",71.69,3670.79999999981,"interesting","1.5","238",78,"1.4","D~1.4"
"3.5",51.98,5098.40000000037,"interesting","1.5","238",78,"1.6","D~1.6"
"4",33.86,2967.5,"interesting","0.5","117",78,"1.4","D~1.4"
"2.5",0,3101.89999999944,"interesting","1","238",78,"1.8","D~1.8"
"4",65.61,3104.40000000037,"interesting","1","117",78,"1.4","D~1.4"
"5.5",88.89,4165.5,"interesting","2","117",78,"1","D~1.0"
"2.5",23.81,5230.79999999981,"interesting","1.5","117",78,"1.8","D~1.8"
"2.5",0.4,6776.09999999963,"interesting","1.5","238",78,"1.8","D~1.8"
"3.5",30.69,4003.70000000019,"interesting","1","314",78,"1.6","D~1.6"
"4",42.99,2682.70000000019,"interesting","0.5","314",78,"1.4","D~1.4"
